City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Behshahr,IR,36.6923,53.5526,56.21,82,36,5.14,scattered clouds
1,Kapaa,US,22.0752,-159.319,74.48,93,75,17.27,broken clouds
2,Bacolod,PH,10.6667,122.95,74.32,96,100,5.75,heavy intensity rain
3,Iraucuba,BR,-3.7461,-39.7833,81.39,81,96,3.47,overcast clouds
4,Pevek,RU,69.7008,170.3133,-21.53,100,87,3.36,overcast clouds
5,Mount Isa,AU,-20.7333,139.5,85.77,28,71,8.05,broken clouds
6,Chapleau,CA,47.8405,-83.4034,41.09,38,40,3.44,scattered clouds
7,Ostrovnoy,RU,68.0531,39.5131,34.56,98,100,15.73,light snow
8,Nome,US,64.5011,-165.4064,28.47,93,100,13.8,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,66.79,78,1,10.36,clear sky
10,Rikitea,PF,-23.1203,-134.9692,78.85,74,3,17.81,light rain
11,Flin Flon,CA,54.7682,-101.865,30.04,59,100,19.57,overcast clouds
12,New Norfolk,AU,-42.7826,147.0587,53.65,40,71,5.12,broken clouds
13,Kodiak,US,57.79,-152.4072,35.11,44,0,9.22,clear sky
14,Dakar,SN,14.6937,-17.4441,81.48,81,1,15.39,clear sky
15,Hirara,JP,24.8,125.2833,73.78,91,86,15.93,overcast clouds
16,Barrow,US,71.2906,-156.7887,-9.38,77,100,10.36,overcast clouds
17,Port Alfred,ZA,-33.5906,26.891,63.18,95,100,5.99,overcast clouds
18,Clyde River,CA,70.4692,-68.5914,3.43,92,75,10.36,broken clouds
19,Faanui,PF,-16.4833,-151.75,81.66,75,27,16.11,light rain
20,Constantine,DZ,36.365,6.6147,65.61,48,0,11.5,clear sky
21,Hilo,US,19.7297,-155.09,72.1,88,0,3.44,clear sky
22,Vaini,TO,-21.2,-175.2,77.16,88,20,8.05,few clouds
23,Guerrero Negro,MX,27.9769,-114.0611,71.37,55,16,5.1,few clouds
24,Saraland,US,30.8207,-88.0706,77.41,46,0,11.34,clear sky
25,Cape Town,ZA,-33.9258,18.4232,73.9,66,0,10.0,clear sky
26,Bengkulu,ID,-3.8004,102.2655,75.11,91,92,3.18,overcast clouds
27,Cozumel,MX,20.5083,-86.9458,80.94,62,20,11.99,few clouds
28,Bredasdorp,ZA,-34.5322,20.0403,64.78,89,0,14.54,clear sky
29,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,94.95,23,17,6.53,few clouds
